,City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind Speed
400,kasongo-lunda,75,PT,1561519142,93,-8.25,39.45,290.37,1.5
401,kasongo-lunda,78,ID,1561519067,65,96.13,4.14,301.215,2.12
402,kasongo-lunda,1,US,1561519145,77,-124.22,43.41,290.37,3.6
403,kasongo-lunda,67,RU,1561518685,41,87.96,65.8,285.515,3.3
404,kasongo-lunda,7,CN,1561519149,40,116.58,35.41,304.015,2.8
405,kasongo-lunda,0,HR,1561519151,93,15.87,46.16,293.71,1.5
406,kasongo-lunda,15,AU,1561519152,9,128.74,-15.77,299.15,6.7
407,kasongo-lunda,40,PF,1561519153,65,-149.15,-17.73,301.15,2.6
408,kasongo-lunda,0,SA,1561519096,26,43.97,26.33,300.15,2.37
409,kasongo-lunda,40,BR,1561519155,78,-38.6,-3.71,300.15,4.6
410,kasongo-lunda,99,RU,1561519158,92,142.95,53.59,279.015,9.94
411,kasongo-lunda,90,US,1561519160,94,-72.92,40.78,295.37,2.28
412,kasongo-lunda,90,RU,1561519162,87,177.51,64.73,282.15,5.0
413,kasongo-lunda,20,CA,1561519163,48,-115.79,60.82,291.15,2.1
414,kasongo-lunda,20,BR,1561519164,63,-42.13,-7.01,297.515,1.79
415,kasongo-lunda,0,TR,1561519165,74,36.19,36.49,299.26,2.1
416,kasongo-lunda,75,AU,1561519168,88,151.26,-23.84,291.48,3.6
417,kasongo-lunda,100,GL,1561519170,81,-45.24,60.14,280.315,2.74
418,kasongo-lunda,40,PT,1561519172,100,-8.45,37.14,293.15,1.5
419,kasongo-lunda,75,AU,1561519173,55,150.86,-34.67,293.15,3.1
420,kasongo-lunda,1,US,1561519060,72,-80.78,37.05,293.71,1.36
421,kasongo-lunda,0,NZ,1561518992,61,170.5,-45.87,282.415,1.04
422,kasongo-lunda,10,CA,1561519120,53,-96.99,50.56,293.15,1.34
423,kasongo-lunda,91,KZ,1561519179,77,66.31,51.1,294.415,6.14
424,kasongo-lunda,0,IN,1561519068,57,77.58,34.16,274.315,1.84
425,kasongo-lunda,0,ES,1561519024,72,-17.92,28.66,293.15,2.1
426,kasongo-lunda,0,ZA,1561519182,90,29.99,-22.21,285.915,5.6
427,kasongo-lunda,100,PH,1561519184,64,126.55,7.69,302.315,2.44
428,kasongo-lunda,54,AT,1561519185,93,13.53,48.64,294.26,1.5
429,kasongo-lunda,94,YE,1561519186,35,46.47,14.4,300.715,1.63
430,kasongo-lunda,100,CF,1561519187,94,21.99,6.54,292.115,0.35
431,kasongo-lunda,15,CN,1561519189,70,112.34,28.88,301.615,2.31
432,kasongo-lunda,0,ML,1561519190,34,-3.61,14.35,306.815,6.08
433,kasongo-lunda,0,BS,1561519191,75,-78.28,26.63,302.215,3.5
434,kasongo-lunda,21,CA,1561519192,84,-53.11,48.65,279.26,1.79
435,kasongo-lunda,27,SO,1561519082,70,48.53,5.35,297.715,6.56
436,kasongo-lunda,40,US,1561519196,37,-105.03,39.65,295.93,4.1
437,kasongo-lunda,100,RU,1561518977,85,139.92,53.94,280.415,3.54
438,kasongo-lunda,98,GL,1561519199,84,-52.9,65.42,280.615,1.61
439,kasongo-lunda,81,TZ,1561519201,87,35.49,-3.24,289.515,7.41
440,kasongo-lunda,90,AU,1561518968,57,145.77,-16.92,298.15,6.2
441,kasongo-lunda,75,CA,1561519204,87,-86.95,49.72,289.15,2.6
442,kasongo-lunda,40,JP,1561519044,74,125.28,24.8,303.15,2.6
443,kasongo-lunda,75,JP,1561519207,65,135.39,33.73,299.15,4.6
444,kasongo-lunda,1,CA,1561519209,82,-130.32,54.32,289.15,4.6
445,kasongo-lunda,24,VE,1561519211,87,-62.41,8.02,298.71,2.68
446,kasongo-lunda,98,CD,1561519213,98,27.99,2.14,291.015,0.41
447,kasongo-lunda,0,BR,1561519215,87,-39.27,-17.73,294.415,2.99
448,kasongo-lunda,76,MX,1561519216,78,-98.21,23.77,300.015,3.61
449,kasongo-lunda,100,NG,1561519218,96,7.07,5.43,295.415,1.04
450,kasongo-lunda,0,ES,1561519219,93,-9.06,42.77,291.48,4.99
451,kasongo-lunda,20,SA,1561519220,42,42.5,18.22,293.15,0.68
452,kasongo-lunda,75,KM,1561519223,88,43.28,-11.38,295.15,2.1
453,kasongo-lunda,45,RU,1561519224,69,166.1,60.47,285.415,4.74
454,kasongo-lunda,0,CL,1561519226,85,-70.2,-22.09,288.115,5.97
455,kasongo-lunda,20,HN,1561519228,78,-86.43,16.35,301.15,8.2
456,kasongo-lunda,40,CA,1561519234,87,-91.92,50.1,290.15,2.6
457,kasongo-lunda,0,EG,1561519237,48,31.15,27.27,301.15,4.1
458,kasongo-lunda,79,MX,1561519238,63,-88.27,21.28,301.415,5.57
459,kasongo-lunda,47,RU,1561519240,81,37.62,54.46,287.115,1.58
460,kasongo-lunda,45,PT,1561519242,79,-6.55,41.42,288.615,0.67
461,kasongo-lunda,67,RU,1561519247,15,161.3,68.75,297.815,6.66
